"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"VALV","Shengkai Innovations, Inc.","1.78","50386460","n/a","Capital Goods","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VALV&selected=VALV",
"SHLO","Shiloh Industries, Inc.","10","167550000","1993","Capital Goods","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHLO&selected=SHLO",
"BEST","Shiner International, Inc.","0.84","23134440","1997","Capital Goods","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BEST&selected=BEST",
"SHPGY","Shire plc","92.38","17313490080","1998","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHPGY&selected=SHPGY",
"SCVL","Shoe Carnival, Inc.","27.29","361537920","1993","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SCVL&selected=SCVL",
"SHBI","Shore Bancshares Inc","5.38","45423340","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHBI&selected=SHBI",
"SHOR","ShoreTel, Inc.","7.81","368374270","1986","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHOR&selected=SHOR",
"SHFL","Shuffle Master, Inc.","8.52","460216320","1992","Consumer Durables","Miscellaneous manufacturing industries","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHFL&selected=SHFL",
"SFLY","Shutterfly, Inc.","46.24","1561802240","2006","Miscellaneous","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SFLY&selected=SFLY",
"SIFI","SI Financial Group, Inc.","9.71","102692960","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIFI&selected=SIFI",
"SIEB","Siebert Financial Corp.","1.54","34061720","n/a","Finance","Investment Bankers/Brokers/Service","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIEB&selected=SIEB",
"BSRR","Sierra Bancorp","11.63","162866520","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BSRR&selected=BSRR",
"SWIR","Sierra Wireless, Inc.","7.67","239480410","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SWIR&selected=SWIR",
"SIFY","Sify Technologies Limited","4.48","799012480","n/a","Technology","Computer Software: Programming, Data Processing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIFY&selected=SIFY",
"SIGA","SIGA Technologies Inc.","5.47","276240470","1994","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIGA&selected=SIGA",
"SIGM","Sigma Designs, Inc.","8.64","274777920","1986","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIGM&selected=SIGM",
"SIAL","Sigma-Aldrich Corporation","60.33","7349822910","n/a","Consumer Durables","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIAL&selected=SIAL",
"SGMA","SigmaTron International, Inc.","4.21","16094830","1972","Technology","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SGMA&selected=SGMA",
"SBNY","Signature Bank","56.6","2340523200","2004","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBNY&selected=SBNY",
"SBNYW","Signature Bank","29.53","17599880","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBNYW&selected=SBNYW",
"SLGN","Silgan Holdings, Inc.","36.75","2575660500","1997","Consumer Durables","Containers/Packaging","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SLGN&selected=SLGN",
"SILC","Silicom Ltd","14.15","97493500","n/a","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SILC&selected=SILC",
"SGI","Silicon Graphics International Corp","12.7","393547600","n/a","Technology","Computer Manufacturing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SGI&selected=SGI",
"SIMG","Silicon Image, Inc.","5.56","441992200","1999","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIMG&selected=SIMG",
"SLAB","Silicon Laboratories, Inc.","32.25","1435931250","1996","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SLAB&selected=SLAB",
"SIMO","Silicon Motion Technology Corporation","10.24","316723200","2005","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIMO&selected=SIMO",
"SPIL","Siliconware Precision Industries Company, Ltd.","4.37","2723698640","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPIL&selected=SPIL",
"SSRI","Silver Standard Resources, Inc","25.66","2060831580","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSRI&selected=SSRI",
"SFNC","Simmons First National Corporation","24.87","431021970","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SFNC&selected=SFNC",
"SLP","Simulations Plus, Inc.","3.14","48456480","1985","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SLP&selected=SLP",
"SINA","Sina Corporation","92.74","5994342640","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SINA&selected=SINA",
"SBGI","Sinclair Broadcast Group, Inc.","7.37","383394770","1995","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBGI&selected=SBGI",
"SCEI","Sino Clean Energy Inc.","1.53","36192150","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SCEI&selected=SCEI",
"SCOK","SinoCoking Coal and Coke Chemical Industries, Inc","4.25","89624000","n/a","Basic Industries","Steel/Iron Ore","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SCOK&selected=SCOK",
"SINO","Sino-Global Shipping America, Ltd.","3.7201","10803170.4","n/a","Transportation","Oil Refining/Marketing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SINO&selected=SINO",
"CTE","SinoTech Energy Limited","3.91","257234990","2010","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CTE&selected=CTE",
"SVA","Sinovac Biotech, Ltd.","2.17","118230280","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SVA&selected=SVA",
"SIRI","Sirius XM Radio Inc.","1.8","7103489400","n/a","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIRI&selected=SIRI",
"SIRO","Sirona Dental Systems, Inc.","43.54","2427833940","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SIRO&selected=SIRO",
"SKUL","Skullcandy, Inc.","16.01","428779820","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SKUL&selected=SKUL",
"MOBI","Sky-mobi Limited","5.5","176957000","1998","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MOBI&selected=MOBI",
"SPU","SkyPeople Fruit Juice, Inc.","2.48","63711200","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPU&selected=SPU",
