CVT,HASTC,CMC Joint Stock Company
CX8,HASTC,Constrexim No 8 Investment And Construction Join Stock Company
CYC,HOSE,Chang Yih Ceramic Joint Stock Company
D11,HASTC,Real Estate 11 Joint Stock Company
D2D,HOSE,Industrial Urban Development Joint Stock Company No. 2
DAC,HASTC,Dong Anh Viglacera Joint - stock Company
DAD,HASTC,Da Nang Education Development And Investment Joint Stock Company
DAE,HASTC,Educational Book Joint Stock Company in Da Nang City
DAG,HOSE,Donga Plastic Group Joint Stock Company
DBC,HASTC,Dabaco Viet Nam Group
DBT,HASTC,Ben Tre Pharmaceutical Joint Stock Company
DC2,HASTC,Development Investment Construction Number 2 Joint Stock Company
DC4,HASTC,DIC No.4 Joint Stock Company
DCC,HOSE,DESCON Construction Corporation
DCL,HOSE,Cuu Long Pharmaceutical Joint Stock Corporation
DCS,HASTC,Dai Chau Joint Stock Company
DCT,HOSE,Dongnai Roofsheet & Construction Material Joint Stock Company
DDM,HOSE,Dong Do Marine Joint Stock Company
DHA,HOSE,Hoa An Joint stock company
DHC,HOSE,Dong Hai Joint Stock Company of Bentre
DHG,HOSE,DHG Pharmaceutical Joint – Stock Company
DHI,HASTC,Dien Hong Printing Joint Stock Company
DHT,HASTC,Ha Tay Pharmaceutical Joint Stock Company
DIC,HOSE,DIC Investment and Trading Joint Stock Company
DID,HASTC,DIC-Dong Tien Joint Stock Company
DIG,HOSE,Development Investment Construction Joint Stock Corporation
DIH,HASTC,
DL1,HASTC,DucLong GiaLai Investment and Development of Public Project Service JSC
DLG,HOSE,Duc Long Gia Lai Group Joint Stock Company
DLR,HASTC,Dalat Real Estate Joint Stock Company
DMC,HOSE,Domesco Medical Import - Export Joint Stock Corporation
DNC,HASTC,Hai Phong Electricity Water Machine Assembly Joint Stock
DNM,HASTC,Danameco Medical Joint - Stock Corporation
DNP,HASTC,DongNai Plastic Joint Stock Company
DNY,HASTC,DANA-Y Steel Joint Stock Company
DPC,HASTC,Da Nang plastic Joint Stock Company
DPM,HOSE,Petrovietnam Fertilizer and Chemical Corporation
DPR,HOSE,Dong Phu Rubber Joint Stock Company
DQC,HOSE,Dien Quang Joint Stock Company
DRC,HOSE,Da Nang Rubber Joint Stock Company
DRH,HOSE,Dream House Investment Corporation
DSN,HOSE,Dam Sen Water Park Corporation
DST,HASTC,Nam Dinh Educational Book and Equipment Joint Stock Company
DTA,HOSE,De Tam Joint Stock Company
DTC,HASTC,Dong Trieu Viglacera JSC
DTL,HOSE,Dai Thien Loc Corporation
DTT,HOSE,Do Thanh Technology Corporation
DVD,HOSE,Vien Dong Pharmaceutical Joint Stock Company
DVP,HOSE,Dinh Vu Port Investment And Development Joint Stock Company
DXG,HOSE,Dat Xanh Real Estate Service And Construcstions Corporation
DXP,HASTC,Doan Xa Port Joint Stock Company
DXV,HOSE,Da Nang Construction Building Materials And Cement Joint Stock Company
DZM,HASTC,DZ? An Manufacturing Public Limited Company
EBS,HASTC,Educational Book Joint Stock Company In Hanoi city
ECI,HASTC,Education Cartography And Illustration Joint Stock Company
EFI,HASTC,Education Financial Investment Joint Stock Company
EIB,HOSE,VietNam Export - Import Commercial Joint Stock Bank
EID,HASTC,Hanoi Education Development And Investment Joint Stock Company
ELC,HOSE,Electronics Communications Technology Investment Development Corporation
EVE,HOSE,Everpia Vietnam Joint Stock Company
FBT,HOSE,Ben Tre Forestry And Aquaproduct Import Export Joint Stock Company
FDC,HOSE,Foreign Trade Development And Investment Corporation Of Ho Chi Minh City
FDG,HOSE,Dong Thap Trading Corpotation
FMC,HOSE,Sao Ta Foods Joint Stock Company
FPC,HOSE,Full Power Joint Stock Company
FPT,HOSE,FPT Corporation
